Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-18 00:00:00+05:30,30794.55078125,30814.75,30564.099609375,30591.0,363700,0.0,0.0
2024-06-19 00:00:00+05:30,30698.44921875,30712.80078125,30157.400390625,30194.599609375,331900,0.0,0.0
2024-06-20 00:00:00+05:30,30236.44921875,30403.80078125,30043.55078125,30274.30078125,471500,0.0,0.0
2024-06-21 00:00:00+05:30,30361.900390625,30395.55078125,30047.0,30114.69921875,428400,0.0,0.0
2024-06-24 00:00:00+05:30,30008.30078125,30301.400390625,29861.25,30268.25,395400,0.0,0.0
2024-06-25 00:00:00+05:30,30373.25,30453.400390625,30131.650390625,30157.44921875,320700,0.0,0.0
2024-06-26 00:00:00+05:30,30136.55078125,30294.75,29991.75,30136.400390625,1800400,0.0,0.0
2024-06-27 00:00:00+05:30,30126.05078125,30446.25,30068.650390625,30381.55078125,498400,0.0,0.0
2024-06-28 00:00:00+05:30,30465.849609375,30505.55078125,30327.25,30362.400390625,368900,0.0,0.0
2024-07-01 00:00:00+05:30,30396.05078125,30698.25,30384.75,30667.099609375,0,0.0,0.0
2024-07-02 00:00:00+05:30,30811.599609375,30811.599609375,30362.55078125,30496.849609375,0,0.0,0.0
2024-07-03 00:00:00+05:30,30599.650390625,30701.94921875,30520.05078125,30661.349609375,0,0.0,0.0
2024-07-04 00:00:00+05:30,30744.5,30832.349609375,30667.349609375,30754.0,357300,0.0,0.0
2024-07-05 00:00:00+05:30,30794.099609375,30971.80078125,30705.400390625,30940.849609375,395200,0.0,0.0
2024-07-08 00:00:00+05:30,31026.150390625,31034.599609375,30786.349609375,30867.0,338200,0.0,0.0
2024-07-09 00:00:00+05:30,31069.05078125,31263.30078125,30979.900390625,31199.30078125,345300,0.0,0.0
2024-07-10 00:00:00+05:30,31260.400390625,31322.900390625,30787.349609375,31089.650390625,411100,0.0,0.0
2024-07-11 00:00:00+05:30,31219.55078125,31235.30078125,30912.25,30967.44921875,345200,0.0,0.0
2024-07-12 00:00:00+05:30,31023.099609375,31030.25,30829.05078125,30869.900390625,334800,0.0,0.0
2024-07-15 00:00:00+05:30,30969.25,31069.75,30899.80078125,31047.19921875,334600,0.0,0.0
2024-07-16 00:00:00+05:30,31166.25,31267.900390625,31098.25,31138.900390625,473200,0.0,0.0
2024-07-18 00:00:00+05:30,31137.69921875,31149.0,30794.900390625,30980.650390625,425700,0.0,0.0
2024-07-19 00:00:00+05:30,31030.19921875,31033.5,30409.30078125,30454.94921875,388900,0.0,0.0
2024-07-22 00:00:00+05:30,30344.25,30728.349609375,30312.400390625,30696.099609375,494700,0.0,0.0
2024-07-23 00:00:00+05:30,30790.25,30824.650390625,29826.599609375,30639.44921875,687000,0.0,0.0
2024-07-24 00:00:00+05:30,30678.849609375,30719.69921875,30472.55078125,30533.099609375,630000,0.0,0.0
2024-07-25 00:00:00+05:30,30358.69921875,30616.599609375,30300.55078125,30576.900390625,566100,0.0,0.0
2024-07-26 00:00:00+05:30,30711.150390625,30998.849609375,30634.849609375,30927.349609375,902400,0.0,0.0
2024-07-29 00:00:00+05:30,31083.19921875,31159.55078125,30976.94921875,31129.55078125,870500,0.0,0.0
2024-07-30 00:00:00+05:30,31190.5,31315.75,31094.099609375,31109.349609375,398700,0.0,0.0
2024-07-31 00:00:00+05:30,31268.599609375,31394.55078125,31166.30078125,31305.80078125,388200,0.0,0.0
2024-08-01 00:00:00+05:30,31439.80078125,31494.55078125,31083.80078125,31189.650390625,561300,0.0,0.0
2024-08-02 00:00:00+05:30,30895.55078125,30955.05078125,30578.19921875,30612.05078125,415900,0.0,0.0
2024-08-05 00:00:00+05:30,30047.650390625,30343.150390625,29773.44921875,30018.69921875,551000,0.0,0.0
2024-08-06 00:00:00+05:30,30173.0,30463.849609375,29983.900390625,30037.099609375,423700,0.0,0.0
2024-08-07 00:00:00+05:30,30384.55078125,30588.599609375,30193.5,30561.849609375,377900,0.0,0.0
2024-08-08 00:00:00+05:30,30568.0,30570.80078125,30278.05078125,30318.849609375,301800,0.0,0.0
2024-08-09 00:00:00+05:30,30612.599609375,30633.80078125,30423.849609375,30470.099609375,309500,0.0,0.0
2024-08-12 00:00:00+05:30,30348.75,30458.80078125,30252.75,30363.05078125,291500,0.0,0.0
2024-08-13 00:00:00+05:30,30438.19921875,30444.599609375,30145.05078125,30190.55078125,249000,0.0,0.0
2024-08-14 00:00:00+05:30,30271.05078125,30283.0,29924.19921875,30097.599609375,308300,0.0,0.0
2024-08-16 00:00:00+05:30,30274.80078125,30622.94921875,30200.900390625,30587.349609375,323400,0.0,0.0
2024-08-19 00:00:00+05:30,30680.349609375,30715.599609375,30582.80078125,30597.099609375,338300,0.0,0.0
