Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-18 00:00:00+05:30,7493.64990234375,7522.2001953125,7469.64990234375,7482.89990234375,1517300,0.0,0.0
2024-06-19 00:00:00+05:30,7497.2001953125,7569.25,7427.4501953125,7489.9501953125,2726800,0.0,0.0
2024-06-20 00:00:00+05:30,7499.25,7535.14990234375,7459.2001953125,7469.60009765625,1876900,0.0,0.0
2024-06-21 00:00:00+05:30,7476.2998046875,7487.14990234375,7346.5,7384.25,1625400,0.0,0.0
2024-06-24 00:00:00+05:30,7332.60009765625,7385.5,7246.7998046875,7335.2998046875,1754000,0.0,0.0
2024-06-25 00:00:00+05:30,7366.39990234375,7388.35009765625,7307.0498046875,7344.60009765625,1574700,0.0,0.0
2024-06-26 00:00:00+05:30,7344.85009765625,7408.60009765625,7307.2998046875,7368.85009765625,1597500,0.0,0.0
2024-06-27 00:00:00+05:30,7354.0,7377.7001953125,7246.4501953125,7301.39990234375,2675800,0.0,0.0
2024-06-28 00:00:00+05:30,7327.39990234375,7508.75,7325.7998046875,7365.9501953125,2818400,0.0,0.0
2024-07-01 00:00:00+05:30,7370.64990234375,7376.60009765625,7300.64990234375,7310.25,0,0.0,0.0
2024-07-02 00:00:00+05:30,7327.7001953125,7344.4501953125,7157.7998046875,7178.0,0,0.0,0.0
2024-07-03 00:00:00+05:30,7218.0,7283.2001953125,7178.7998046875,7254.2001953125,0,0.0,0.0
2024-07-04 00:00:00+05:30,7284.0498046875,7286.9501953125,7208.7001953125,7266.0,1138500,0.0,0.0
2024-07-05 00:00:00+05:30,7267.7998046875,7365.85009765625,7256.64990234375,7356.75,1496100,0.0,0.0
2024-07-08 00:00:00+05:30,7326.7998046875,7341.39990234375,7225.89990234375,7238.89990234375,1369600,0.0,0.0
2024-07-09 00:00:00+05:30,7268.25,7396.0498046875,7261.0,7331.5,2918900,0.0,0.0
2024-07-10 00:00:00+05:30,7341.2998046875,7345.75,7154.9501953125,7228.64990234375,1787400,0.0,0.0
2024-07-11 00:00:00+05:30,7277.39990234375,7283.5,7214.0498046875,7241.14990234375,1070200,0.0,0.0
2024-07-12 00:00:00+05:30,7250.85009765625,7294.5,7194.39990234375,7203.0,1443700,0.0,0.0
2024-07-15 00:00:00+05:30,7233.2998046875,7448.7001953125,7209.35009765625,7423.85009765625,4590200,0.0,0.0
2024-07-16 00:00:00+05:30,7445.85009765625,7498.7998046875,7375.60009765625,7405.5,2299800,0.0,0.0
2024-07-18 00:00:00+05:30,7408.39990234375,7493.7998046875,7339.7001953125,7407.25,3162300,0.0,0.0
2024-07-19 00:00:00+05:30,7423.0,7432.10009765625,7281.10009765625,7302.60009765625,2001200,0.0,0.0
2024-07-22 00:00:00+05:30,7265.39990234375,7380.7001953125,7225.14990234375,7321.5,1658100,0.0,0.0
2024-07-23 00:00:00+05:30,7367.7001953125,7368.0498046875,7039.2001953125,7218.89990234375,1727200,0.0,0.0
2024-07-24 00:00:00+05:30,7223.9501953125,7274.14990234375,7136.60009765625,7193.5,2094700,0.0,0.0
2024-07-25 00:00:00+05:30,7156.60009765625,7176.7998046875,7111.2998046875,7151.64990234375,1871900,0.0,0.0
2024-07-26 00:00:00+05:30,7149.60009765625,7286.25,7142.0,7270.64990234375,2491400,0.0,0.0
2024-07-29 00:00:00+05:30,7370.85009765625,7542.5498046875,7354.60009765625,7434.5,4404700,0.0,0.0
2024-07-30 00:00:00+05:30,7453.2001953125,7472.75,7409.60009765625,7428.5498046875,1418900,0.0,0.0
2024-07-31 00:00:00+05:30,7444.75,7448.85009765625,7361.2998046875,7396.9501953125,1430600,0.0,0.0
2024-08-01 00:00:00+05:30,7446.7998046875,7457.7998046875,7297.89990234375,7323.5,1578500,0.0,0.0
2024-08-02 00:00:00+05:30,7259.39990234375,7260.0,7154.75,7197.5,1668700,0.0,0.0
2024-08-05 00:00:00+05:30,7037.14990234375,7040.14990234375,6817.85009765625,6903.4501953125,2978800,0.0,0.0
2024-08-06 00:00:00+05:30,6979.4501953125,7051.39990234375,6795.14990234375,6816.2001953125,1594500,0.0,0.0
2024-08-07 00:00:00+05:30,6924.39990234375,6930.4501953125,6829.0,6916.0,1505000,0.0,0.0
2024-08-08 00:00:00+05:30,6929.64990234375,6961.85009765625,6846.5498046875,6862.35009765625,1352500,0.0,0.0
2024-08-09 00:00:00+05:30,6932.25,7057.5,6886.64990234375,6994.4501953125,1435300,0.0,0.0
2024-08-12 00:00:00+05:30,6961.2001953125,6982.5498046875,6896.75,6911.9501953125,1131600,0.0,0.0
2024-08-13 00:00:00+05:30,6922.7998046875,6958.64990234375,6782.85009765625,6800.7001953125,1158100,0.0,0.0
2024-08-14 00:00:00+05:30,6815.9501953125,6832.5498046875,6754.89990234375,6774.5,1115400,0.0,0.0
2024-08-16 00:00:00+05:30,6800.2001953125,6851.10009765625,6797.75,6843.7998046875,1089700,0.0,0.0
2024-08-19 00:00:00+05:30,6882.0,6995.89990234375,6877.35009765625,6926.14990234375,1099700,0.0,0.0
2024-08-20 00:00:00+05:30,6953.5498046875,7053.4501953125,6924.85009765625,7042.5498046875,1340100,0.0,0.0
2024-08-21 00:00:00+05:30,7053.39990234375,7054.10009765625,6969.85009765625,7012.4501953125,1085100,0.0,0.0
2024-08-22 00:00:00+05:30,7039.2001953125,7082.89990234375,7030.4501953125,7059.7001953125,986300,0.0,0.0
2024-08-23 00:00:00+05:30,7070.7998046875,7074.10009765625,7010.5,7017.7001953125,662800,0.0,0.0
2024-08-26 00:00:00+05:30,7045.4501953125,7053.5,6975.2998046875,6982.5,944900,0.0,0.0
2024-08-27 00:00:00+05:30,6996.7001953125,7012.7001953125,6971.10009765625,6985.39990234375,724100,0.0,0.0
2024-08-28 00:00:00+05:30,6988.39990234375,6999.5,6932.64990234375,6954.10009765625,894600,0.0,0.0
2024-08-29 00:00:00+05:30,6952.85009765625,6983.4501953125,6910.64990234375,6965.0,931800,0.0,0.0
2024-08-30 00:00:00+05:30,6986.5,7041.5,6974.60009765625,6985.7998046875,1058800,0.0,0.0
2024-09-02 00:00:00+05:30,7006.2001953125,7053.35009765625,6939.5498046875,7021.2001953125,1060200,0.0,0.0
2024-09-03 00:00:00+05:30,7028.5498046875,7038.60009765625,6982.10009765625,6996.9501953125,747700,0.0,0.0
2024-09-04 00:00:00+05:30,6896.2001953125,6930.10009765625,6864.64990234375,6878.89990234375,1152000,0.0,0.0
2024-09-05 00:00:00+05:30,6915.5498046875,6920.0498046875,6856.9501953125,6901.2001953125,976200,0.0,0.0
2024-09-06 00:00:00+05:30,6875.75,6879.7001953125,6632.0498046875,6655.0498046875,1935700,0.0,0.0
2024-09-09 00:00:00+05:30,6655.5498046875,6667.35009765625,6542.4501953125,6641.9501953125,1561700,0.0,0.0
2024-09-10 00:00:00+05:30,6682.7998046875,6691.64990234375,6628.0,6638.35009765625,862000,0.0,0.0
